Make,Model,Vehicle class,Production start year,Production end year,Production start month,Production end month,Series / facelift,Generation,Full Model Code,Chassis Code,Trim,Emissions Prefix,Trim Suffix Code,Engine code,Engine type,Body type,Doors,Length mm,Width mm,Height mm,Wheelbase mm,Ground clearance mm,Engine displacement L,Engine displacement cc,Engine configuration,Fuel Category,Fuel type,Fuel Grade,Transmission,Drivetrain,Horsepower,Torque,Torque unit,Fuel tank capacity,Fuel tank unit,fuel economy (km/L),Estimated (Km) per re-fuel,Seating capacity,Curb weight kg,Gross vehicle weight kg,Max payload kg,Max towing kg,Front brake type,Rear brake type,Brake size mm,Tire size,Front tire size,Rear tire size,Bolt pattern,Wheel offset mm,Engine oil capacity L,Coolant capacity L,Final drive,Cooling type,Starter type,Seat height mm,Front suspension,Rear suspension,Gear count,Dry weight kg,Wheel size front,Wheel size rear,ID,Created at,Updated at
Toyota,Estima,car,2006,2019,,,3rd Gen Hybrid,3rd Gen,,AHR20W,,,,2AZ-FXE,,Minivan,5,,,,,,2.4,2362,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,AWD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Allion,car,2007,2021,,,1.5 2WD,2nd Gen,,NZT260,,,,1NZ-FE,,Sedan,4,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Allion,car,2007,2021,,,1.8 2WD,2nd Gen,,ZRT260,,,,2ZR-FAE,,Sedan,4,,,,,,1.8,1797,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Premio,car,2007,2021,,,1.5 2WD,2nd Gen,,NZT260,,,,1NZ-FE,,Sedan,4,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Premio,car,2007,2021,,,1.8 2WD,2nd Gen,,ZRT260,,,,2ZR-FAE,,Sedan,4,,,,,,1.8,1797,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Corolla Rumion,car,2007,2015,,,1st Gen,1st Gen,,NZE151N,,,,1NZ-FE,,Hatchback,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Belta,car,2005,2012,,,1.0,1st Gen,,SCP92,,,,1KR-FE,,Sedan,4,,,,,,1,996,Inline-3,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Belta,car,2005,2012,,,1.3,1st Gen,,NCP96,,,,2NZ-FE,,Sedan,4,,,,,,1.3,1298,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Platz,car,1999,2005,,,1st Gen,1st Gen,,SCP11,,,,1SZ-FE,,Sedan,4,,,,,,1,997,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Ist,car,2002,2007,,,1st Gen,1st Gen,,NCP60,,,,2NZ-FE,,Hatchback,5,,,,,,1.3,1298,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Ist,car,2007,2016,,,2nd Gen,2nd Gen,,NCP110,,,,1NZ-FE,,Hatchback,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Auris,car,2006,2012,,,1st Gen,1st Gen,,NZE151H,,,,1NZ-FE,,Hatchback,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Auris,car,2012,2018,,,2nd Gen Hybrid,2nd Gen,,ZWE186H,,,,2ZR-FXE,,Hatchback,5,,,,,,1.8,1797,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius,car,2003,2009,,,2nd Gen,2nd Gen,,NHW20,,,,1NZ-FXE,,Hatchback,5,,,,,,1.5,1496,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius,car,2009,2015,,,3rd Gen,3rd Gen,,ZVW30,,,,2ZR-FXE,,Hatchback,5,,,,,,1.8,1797,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius,car,2015,2022,,,4th Gen,4th Gen,,ZVW50,,,,2ZR-FXE,,Hatchback,5,,,,,,1.8,1797,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius Alpha,car,2011,2021,,,1st Gen,1st Gen,,ZVW40W,,,,2ZR-FXE,,Station Wagon,5,,,,,,1.8,1797,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Mark X,car,2004,2009,,,1st Gen 2.5,1st Gen,,GRX120,,,,4GR-FSE,,Sedan,4,,,,,,2.5,2499,V6,Gas,Petrol,87,6AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Mark X,car,2009,2019,,,2nd Gen 2.5,2nd Gen,,GRX130,,,,4GR-FSE,,Sedan,4,,,,,,2.5,2499,V6,Gas,Petrol,87,6AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Mark X Zio,car,2007,2013,,,1st Gen,1st Gen,,ANA10,,,,2AZ-FE,,Minivan,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Camry,car,2006,2011,,,6th Gen,6th Gen,,ACV40,,,,2AZ-FE,,Sedan,4,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,5AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Camry,car,2011,2017,,,7th Gen Hybrid,7th Gen,,AVV50,,,,2AR-FXE,,Sedan,4,,,,,,2.5,2494,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Camry,car,2017,,,,8th Gen Hybrid,8th Gen,,AXVH70,,,,A25A-FXS,,Sedan,4,,,,,,2.5,2487,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Harrier,car,2003,2013,,,2nd Gen,2nd Gen,,ACU30W,,,,2AZ-FE,,SUV,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Harrier,car,2013,2020,,,3rd Gen Gas,3rd Gen,,ZSU60W,,,,3ZR-FAE,,SUV,5,,,,,,2,1986,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Harrier,car,2020,,,,4th Gen Hybrid,4th Gen,,AXUH80,,,,A25A-FXS,,SUV,5,,,,,,2.5,2487,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Rush,car,2006,2016,,,1st Gen,1st Gen,,J210E,,,,3SZ-VE,,SUV,5,,,,,,1.5,1495,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Kluger,car,2000,2007,,,1st Gen,1st Gen,,ACU20W,,,,2AZ-FE,,SUV,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Kluger,car,2007,2013,,,2nd Gen,2nd Gen,,GSU45W,,,,2GR-FE,,SUV,5,,,,,,3.5,3456,V6,Gas,Petrol,87,5AT,AWD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Vanguard,car,2007,2013,,,1st Gen,1st Gen,,ACA33W,,,,2AZ-FE,,SUV,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Land Cruiser Prado,car,2009,2015,,,150 Diesel,4th Gen,,KDJ150W,,,,1KD-FTV,,SUV,5,,,,,,3,2982,Inline-4,Diesel,Diesel,Diesel,5AT,4WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Land Cruiser Prado,car,2009,,,,150 Petrol 2.7,4th Gen,,TRJ150W,,,,2TR-FE,,SUV,5,,,,,,2.7,2693,Inline-4,Gas,Petrol,87,6AT,4WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Land Cruiser Prado,car,2015,,,,150 Diesel 2.8,4th Gen,,GDJ150W,,,,1GD-FTV,,SUV,5,,,,,,2.8,2754,Inline-4,Diesel,Diesel,Diesel,6AT,4WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Land Cruiser,car,2007,2021,,,200 Petrol,200 Series,,URJ202W,,,,1UR-FE,,SUV,5,,,,,,4.6,4608,V8,Gas,Petrol,87,6AT,4WD,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Hilux,car,2004,2015,,,Vigo Diesel,7th Gen,,KUN25,,,,2KD-FTV,,Pick up,4,,,,,,2.5,2494,Inline-4,Diesel,Diesel,Diesel,5MT,4WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Hilux,car,2015,,,,Revo Diesel,8th Gen,,GUN125,,,,2GD-FTV,,Pick up,4,,,,,,2.4,2393,Inline-4,Diesel,Diesel,Diesel,6AT,4WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Hilux Surf,car,2002,2009,,,4th Gen,4th Gen,,TRN215W,,,,2TR-FE,,SUV,5,,,,,,2.7,2693,Inline-4,Gas,Petrol,87,4AT,4WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Hiace,car,2004,,,,Van Petrol 2.0,5th Gen,,TRH200V,,,,1TR-FE,,Van,5,,,,,,2,1998,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Hiace,car,2004,,,,Van Diesel 3.0,5th Gen,,KDH201V,,,,1KD-FTV,,Van,5,,,,,,3,2982,Inline-4,Diesel,Diesel,Diesel,4AT,2WD,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Hiace,car,2017,,,,Van Diesel 2.8,5th Gen,,GDH201V,,,,1GD-FTV,,Van,5,,,,,,2.8,2754,Inline-4,Diesel,Diesel,Diesel,6AT,2WD,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Hiace,car,2004,,,,Commuter Diesel,5th Gen,,TRH223B,,,,2TR-FE,,Bus,4,,,,,,2.7,2693,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Regiusace,car,2004,,,,Van Diesel,5th Gen,,KDH201V,,,,1KD-FTV,,Van,5,,,,,,3,2982,Inline-4,Diesel,Diesel,Diesel,4AT,2WD,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Coaster,car,2007,,,,Diesel Bus,4th Gen,,XZB50,,,,N04C,,Bus,3,,,,,,4,4009,Inline-4,Diesel,Diesel,Diesel,5MT,2WD,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Dyna,car,2011,,,,Truck Diesel,7th Gen,,XZU605,,,,N04C,,Truck,2,,,,,,4,4009,Inline-4,Diesel,Diesel,Diesel,5MT,2WD,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Toyoace,car,2011,,,,Truck Diesel,7th Gen,,XZU605,,,,N04C,,Truck,2,,,,,,4,4009,Inline-4,Diesel,Diesel,Diesel,5MT,2WD,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Townace,car,2008,,,,Van 1.5,5th Gen,,S402M,,,,3SZ-VE,,Van,5,,,,,,1.5,1495,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Liteace,car,2008,,,,Van 1.5,5th Gen,,S402M,,,,3SZ-VE,,Van,5,,,,,,1.5,1495,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Raize,car,2019,,,,1st Gen,1st Gen,,A200A,,,,1KR-VET,,SUV,5,,,,,,1,996,Inline-3,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Tank,car,2016,2020,,,1st Gen,1st Gen,,M900A,,,,1KR-FE,,Hatchback,5,,,,,,1,996,Inline-3,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Sai,car,2009,2017,,,1st Gen,1st Gen,,AZK10,,,,2AZ-FXE,,Sedan,4,,,,,,2.4,2362,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Blade,car,2006,2012,,,1st Gen,1st Gen,,AZE156H,,,,2AZ-FE,,Hatchback,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Caldina,car,2002,2007,,,3rd Gen,3rd Gen,,AZT241W,,,,1AZ-FSE,,Station Wagon,5,,,,,,2,1998,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Funcargo,car,1999,2005,,,1st Gen,1st Gen,,NCP20,,,,2NZ-FE,,Hatchback,5,,,,,,1.3,1298,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Gaia,car,1998,2004,,,1st Gen,1st Gen,,ACM10G,,,,1AZ-FSE,,Minivan,5,,,,,,2,1998,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Opa,car,2000,2005,,,1st Gen,1st Gen,,ACT10,,,,1AZ-FSE,,Hatchback,5,,,,,,2,1998,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Altezza,car,1998,2005,,,1st Gen,1st Gen,,SXE10,,,,3S-GE,,Sedan,4,,,,,,2,1998,Inline-4,Gas,Petrol,87,6MT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Celsior,car,2000,2006,,,3rd Gen,3rd Gen,,UCF30,,,,3UZ-FE,,Sedan,4,,,,,,4.3,4292,V8,Gas,Petrol,87,5AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Windom,car,2001,2006,,,3rd Gen,3rd Gen,,MCV30,,,,1MZ-FE,,Sedan,4,,,,,,3,2995,V6,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,March,car,2002,2010,,,3rd Gen,3rd Gen,,K12,,,,CR12DE,,Hatchback,5,,,,,,1.2,1240,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,March,car,2010,,,,4th Gen,4th Gen,,K13,,,,HR12DE,,Hatchback,5,,,,,,1.2,1198,Inline-3,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Wingroad,car,2005,2018,,,3rd Gen,3rd Gen,,Y12,,,,HR15DE,,Station Wagon,5,,,,,,1.5,1498,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,AD Van,car,2006,2021,,,3rd Gen,3rd Gen,,VY12,,,,HR15DE,,Van,5,,,,,,1.5,1498,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,NV150 AD,car,2016,2021,,,Facelift,3rd Gen,,VY12,,,,HR15DE,,Van,5,,,,,,1.5,1498,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Serena,car,2005,2010,,,C25,3rd Gen,,C25,,,,MR20DE,,Minivan,5,,,,,,2,1997,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Serena,car,2010,2016,,,C26,4th Gen,,C26,,,,MR20DD,,Minivan,5,,,,,,2,1997,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Serena,car,2016,2022,,,C27 e-POWER,5th Gen,,HC27,,,,HR12DE,,Minivan,5,,,,,,1.2,1198,Inline-3,Hybrid,Hybrid(petrol),87,Single Speed,2WD,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,X-Trail,car,2000,2007,,,T30,1st Gen,,T30,,,,QR20DE,,SUV,5,,,,,,2,1998,Inline-4,Gas,Petrol,87,4AT,4WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,X-Trail,car,2007,2013,,,T31,2nd Gen,,T31,,,,MR20DE,,SUV,5,,,,,,2,1997,Inline-4,Gas,Petrol,87,CVT,4WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,X-Trail,car,2013,2022,,,T32,3rd Gen,,T32,,,,MR20DD,,SUV,5,,,,,,2,1997,Inline-4,Gas,Petrol,87,CVT,4WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Juke,car,2010,2019,,,1st Gen,1st Gen,,F15,,,,HR15DE,,SUV,5,,,,,,1.5,1498,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Dualis,car,2007,2014,,,1st Gen,1st Gen,,J10,,,,MR20DE,,SUV,5,,,,,,2,1997,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Cube,car,2002,2008,,,2nd Gen,2nd Gen,,Z11,,,,CR14DE,,Hatchback,5,,,,,,1.4,1386,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
