id,make,model,vehicle_class,production_start_year,production_end_year,chassis_code,engine_code,source,import_batch_id,created_at,updated_at
46f33d9b-920a-4178-9b20-ee729321e7c4,Honda,CR-V,car,2025,,RS,LFB22,manual,,2026-05-01T13:36:57.42568+00:00,2026-05-01T13:36:57.379+00:00
3d839010-600d-4720-891c-84d09a8f78a5,Honda,CR-V,car,2018,2022,RT5,LFB,manual,,2026-05-01T13:36:58.078108+00:00,2026-05-01T13:36:58.019+00:00
be80b476-a1dd-487e-8c49-39a6396717d6,Honda,CR-V,car,2018,2022,RW1,L15B,manual,,2026-05-01T13:36:58.611303+00:00,2026-05-01T13:36:58.546+00:00
79de64b9-46fc-4f96-86fe-a16fc344730e,Honda,CR-V,car,2011,2014,RM1,R20A,manual,,2026-05-01T13:36:59.782611+00:00,2026-05-01T13:36:59.721+00:00
8e81d4ff-0792-4747-ac5e-31d0d608bd0e,Honda,CR-V,car,2006,2009,RE3,K24A,manual,,2026-05-01T13:37:00.870595+00:00,2026-05-01T13:37:00.815+00:00
ff73214f-f77c-47f2-9e44-5e9765a1fd2d,Honda,Fit,car,2022,,GS4,LEB-H5,manual,,2026-05-01T13:37:01.673011+00:00,2026-05-01T13:37:01.526+00:00
3f7c9ac4-18e0-400d-b739-52fa7e79dcba,Honda,Fit,car,2020,,GR3,LEB-H5,manual,,2026-05-01T13:37:02.371867+00:00,2026-05-01T13:37:02.282+00:00
892e2ab2-1945-490b-b7c0-aaac574f79e9,Honda,Fit,car,2020,2022,GR1,L13B,manual,,2026-05-01T13:37:03.078615+00:00,2026-05-01T13:37:02.991+00:00
129fdd18-d05f-4f06-88a2-77e607b7c17c,Honda,Fit,car,2017,2020,GK3,L13B,manual,,2026-05-01T13:37:03.762022+00:00,2026-05-01T13:37:03.688+00:00
820a0e11-9274-4350-a458-3dded061be1e,Honda,Fit,car,2013,2020,GP5,LEB,manual,,2026-05-01T13:37:04.487233+00:00,2026-05-01T13:37:04.405+00:00
1e709e42-5c10-4e50-8f60-ca7ceae249c1,Honda,Fit,car,2013,2017,GK3,L13B,manual,,2026-05-01T13:37:05.169736+00:00,2026-05-01T13:37:05.108+00:00
5485db9c-7063-4f2d-86d7-3d93e7a81f0a,Honda,Fit,car,2013,2020,GK5,L15B,manual,,2026-05-01T13:37:05.83859+00:00,2026-05-01T13:37:05.778+00:00
02605c92-b85d-43c5-a66b-b7b49a6ad513,Honda,Fit,car,2010,2013,GP1,LDA,manual,,2026-05-01T13:37:06.410996+00:00,2026-05-01T13:37:06.328+00:00
73b4244b-cbba-4064-a5e4-83e6b5eb0eaf,Honda,Fit,car,2007,2010,GE6,L13A,manual,,2026-05-01T13:37:07.178276+00:00,2026-05-01T13:37:07.068+00:00
0dec9520-3ab2-4f3f-b102-cbef1ebe51f0,Honda,Fit,car,2004,2007,GD1,L13A,manual,,2026-05-01T13:37:07.875933+00:00,2026-05-01T13:37:07.815+00:00
ad7bebd4-67c3-4541-bdc5-83f9768fb820,Honda,Fit,car,2001,2004,GD1,L13A,manual,,2026-05-01T13:37:08.557317+00:00,2026-05-01T13:37:08.492+00:00
0096fcf9-1b79-45d0-8ccb-370689c89272,Honda,Grace,car,2017,2020,GM4,LEB,manual,,2026-05-01T13:37:09.438181+00:00,2026-05-01T13:37:09.385+00:00
97e184c3-47db-480b-ad12-7bb77c14e5b9,Honda,Grace,car,2015,2020,GM9,L15B,manual,,2026-05-01T13:37:10.985539+00:00,2026-05-01T13:37:10.929+00:00
a7953b37-d76a-40be-be35-4d9435f9af7c,Honda,Grace,car,2015,2020,GM6,L15B,manual,,2026-05-01T13:37:10.305525+00:00,2026-05-01T13:37:10.143+00:00
0a6b4a9c-b75f-4b38-81ba-04c4901f7312,Honda,Grace,car,2014,2017,GM4,LEB,manual,,2026-05-01T13:37:12.00549+00:00,2026-05-01T13:37:11.945+00:00
8489ff42-c53e-4061-91b9-3a45845590f8,Honda,Grace,car,2014,2020,GM5,LEB,manual,,2026-05-01T13:37:13.223518+00:00,2026-05-01T13:37:13.141+00:00
2cbd7ac4-c2ff-4734-b873-0cafa32fbf68,Mazda,Demio,car,2014,2019,DJ3FS,P3-VPS,manual,,2026-05-01T13:37:14.506019+00:00,2026-05-01T13:37:14.422+00:00
74a56d8d-a651-4789-8904-d47b88db60b4,Mazda,Demio,car,2014,2019,DJ5FS,S5-DPTS,manual,,2026-05-01T13:37:13.784239+00:00,2026-05-01T13:37:13.694+00:00
f348cacd-f304-431a-88e6-9a10b259fddd,Mazda,Demio,car,2011,2014,DE3FS,ZJ-VEM,manual,,2026-05-01T13:37:15.197914+00:00,2026-05-01T13:37:15.133+00:00
b016603b-3924-4ec7-817e-1279cade0219,Mazda,Demio,car,2007,2011,DE3FS,ZJ-VE,manual,,2026-05-01T13:37:16.141208+00:00,2026-05-01T13:37:16.07+00:00
19c2fc54-cc5d-416e-b283-58933e668054,Mazda,Mazda 2,car,2019,,DJLFS,P5-VPS,manual,,2026-05-01T13:37:16.797223+00:00,2026-05-01T13:37:16.736+00:00
d634b76e-162a-4b22-bd00-23aad4b74131,Nissan,Note,car,2020,,E13,HR12DE-EM47,manual,,2026-05-01T13:37:18.456888+00:00,2026-05-01T13:37:18.396+00:00
593924b0-84f2-4390-bb65-c83f07457adf,Nissan,Note,car,2020,,SNE13,HR12DE-EM47,manual,,2026-05-01T13:37:17.484691+00:00,2026-05-01T13:37:17.424+00:00
96c1a501-5bc9-4fa7-89b9-116f4b5115c8,Nissan,Note,car,2016,2020,E12,HR12DE,manual,,2026-05-01T13:37:20.210971+00:00,2026-05-01T13:37:20.152+00:00
4253d18e-30e2-4fcc-842f-1782be5cffe1,Nissan,Note,car,2016,2020,HE12,HR12DE-EM57,manual,,2026-05-01T13:37:19.43467+00:00,2026-05-01T13:37:19.369+00:00
b8eab716-161d-4738-8457-8082b6727af6,Nissan,Note,car,2012,2016,E12,HR12DDR,manual,,2026-05-01T13:37:20.679352+00:00,2026-05-01T13:37:20.625+00:00
384237dd-e6ca-4533-8e79-da718daf7ca7,Nissan,Note,car,2012,2016,E12,HR12DE,manual,,2026-05-01T13:37:21.335541+00:00,2026-05-01T13:37:21.288+00:00
15452fec-9975-4244-b623-5748d21252ee,Nissan,Note,car,2008,2012,E11,HR15DE,manual,,2026-05-01T13:37:22.254512+00:00,2026-05-01T13:37:22.193+00:00
78cb54d5-5107-45cc-a9ce-e3dead3d5c33,Nissan,Note,car,2005,2007,E11,HR15DE,manual,,2026-05-01T13:37:23.109602+00:00,2026-05-01T13:37:23.027+00:00
48cb3328-c1c3-4fa8-80e8-b428a957fd16,Nissan,Sylphy,car,2021,,B18,HR12,manual,,2026-05-01T13:37:23.803729+00:00,2026-05-01T13:37:23.707+00:00
40b23cd8-af9e-448f-a3e7-195438cd2988,Nissan,Sylphy,car,2015,2020,B17,MRA8DE,manual,,2026-05-01T13:37:24.526072+00:00,2026-05-01T13:37:24.46+00:00
768df197-4aa8-4bb6-950b-9e7899c49d4f,Nissan,Sylphy,car,2012,2015,B17,MRA8DE,manual,,2026-05-01T13:37:25.50289+00:00,2026-05-01T13:37:25.425+00:00
3c2455e3-9bad-4e6a-a8b4-94d8834aea57,Nissan,Sylphy,car,2005,2012,G11,HR15DE,manual,,2026-05-01T13:37:26.135148+00:00,2026-05-01T13:37:26.036+00:00
0bed6670-2a40-4c16-a932-3aa703ecf70d,Nissan,Tiida,car,2015,,C13,MRA8DE,manual,,2026-05-01T13:37:26.825171+00:00,2026-05-01T13:37:26.765+00:00
bc4d8629-9ba2-4b95-92f1-33ab1011bbeb,Nissan,Tiida,car,2011,2015,C12,HR16DE,manual,,2026-05-01T13:37:27.787187+00:00,2026-05-01T13:37:27.722+00:00
d7adb36f-8406-474c-95e6-fb79530da109,Nissan,Tiida,car,2008,2012,C11,HR15DE,manual,,2026-05-01T13:37:28.583325+00:00,2026-05-01T13:37:28.494+00:00
a239e9e0-4334-4848-bd16-cd72fa17859c,Nissan,Tiida,car,2005,2012,JC11,MR18DE,manual,,2026-05-01T13:37:29.273028+00:00,2026-05-01T13:37:29.201+00:00
dbced375-53de-48bd-856e-e25ada262e82,Nissan,Tiida,car,2004,2012,NC11,HR15DE,manual,,2026-05-01T13:37:30.983643+00:00,2026-05-01T13:37:30.913+00:00
5ae5c088-3cec-4d77-8da0-b685a7b2eaec,Nissan,Tiida,car,2004,2007,C11,HR15DE,manual,,2026-05-01T13:37:29.952449+00:00,2026-05-01T13:37:29.904+00:00
4f60ad7c-f9c8-4761-9e1b-1faeac2cd07f,Nissan,Tiida Latio,car,2004,2012,SC11,HR15DE,manual,,2026-05-01T13:37:31.741189+00:00,2026-05-01T13:37:31.684+00:00
2d9e29e7-02d9-42d6-90fa-4538d39d5af6,Suzuki,Swift,car,2023,,ZCED1S,Z12E,manual,,2026-05-01T13:37:32.455635+00:00,2026-05-01T13:37:32.356+00:00
977b3c10-84fa-416e-9d4a-7717b489c353,Suzuki,Swift,car,2017,2020,ZC13S,K10C,manual,,2026-05-01T13:37:35.116696+00:00,2026-05-01T13:37:35.052+00:00
adf34412-4628-4ab6-a72a-c3dba2d5f902,Suzuki,Swift,car,2017,2023,ZC33S,K14C,manual,,2026-05-01T13:37:33.153557+00:00,2026-05-01T13:37:33.068+00:00
5231766d-99c7-48a0-bf25-80167fae91b0,Suzuki,Swift,car,2017,2023,ZC83S,K12C,manual,,2026-05-01T13:37:34.120869+00:00,2026-05-01T13:37:34.041+00:00
b848ec64-861e-4a14-b149-9af187c0e188,Suzuki,Swift,car,2013,2016,ZC72S,K12B,manual,,2026-05-01T13:37:35.815892+00:00,2026-05-01T13:37:35.757+00:00
7758f192-048f-40c8-8866-02da8c7dd32f,Suzuki,Swift,car,2010,2013,ZC72S,K12B,manual,,2026-05-01T13:37:36.473972+00:00,2026-05-01T13:37:36.408+00:00
d86b29e2-7fa1-4635-a2a4-27d0e13e75bc,Suzuki,Swift,car,2004,2010,ZC71S,K12B,manual,,2026-05-01T13:37:37.171305+00:00,2026-05-01T13:37:37.097+00:00
9228d1df-0480-46f0-9fe6-bf6d34e41af4,Toyota,Aqua,car,2021,,MXPK11,M15A-FXE,manual,,2026-05-01T13:37:37.873195+00:00,2026-05-01T13:37:37.807+00:00
7f4d8f3d-2e4e-45a9-a46f-40b1abf39a6a,Toyota,Aqua,car,2017,2021,NHP10,1NZ-FXE,manual,,2026-05-01T13:37:38.373221+00:00,2026-05-01T13:37:38.297+00:00
6a3a459c-fbd0-439e-9597-c9855d436cd4,Toyota,Aqua,car,2014,2017,NHP10,1NZ-FXE,manual,,2026-05-01T13:37:39.019736+00:00,2026-05-01T13:37:38.942+00:00
896b4c34-9e23-4868-9dc5-f3b28992370a,Toyota,Aqua,car,2011,2014,NHP10,1NZ-FXE,manual,,2026-05-01T13:37:39.96684+00:00,2026-05-01T13:37:39.888+00:00
f237e804-0a17-4858-a0a4-2f6c08f9d05f,Toyota,C-HR,car,2023,,ZYX20,2ZR-FXE,manual,,2026-05-01T13:37:40.688976+00:00,2026-05-01T13:37:40.607+00:00
118a2911-58a8-4133-99ee-52af74e3469c,Toyota,C-HR,car,2019,2023,MAXH10,M20A-FXS,manual,,2026-05-01T13:37:41.904714+00:00,2026-05-01T13:37:41.848+00:00
fe21ed11-e254-42ed-b19b-a2cc2807b9b9,Toyota,C-HR,car,2019,2023,ZYX11,2ZR-FXE,manual,,2026-05-01T13:37:41.182658+00:00,2026-05-01T13:37:41.129+00:00
945784c0-816d-44cf-9efb-7073d1e9ca3b,Toyota,C-HR,car,2019,2023,NGX10,8NR-FTS,manual,,2026-05-01T13:37:42.601028+00:00,2026-05-01T13:37:42.534+00:00
d3164227-aa28-43ec-9f4d-dd507ccec30a,Toyota,C-HR,car,2016,2019,NGX10,8NR-FTS,manual,,2026-05-01T13:37:43.31218+00:00,2026-05-01T13:37:43.248+00:00
27c521ae-0d0a-4d4e-8620-70c7194fde13,Toyota,C-HR,car,2016,2019,ZYX10,2ZR-FXE,manual,,2026-05-01T13:37:44.457314+00:00,2026-05-01T13:37:44.314+00:00
3a167c66-346f-4122-a957-324a368e0822,Toyota,C-HR,car,2016,2019,NGX50,8NR-FTS,manual,,2026-05-01T13:37:45.207672+00:00,2026-05-01T13:37:45.142+00:00
4142ac96-8fd3-4bee-bf0a-0b299bd145c6,Toyota,C-HR,car,2016,2022,ZGX10,3ZR-FAE,manual,,2026-05-01T13:37:43.780826+00:00,2026-05-01T13:37:43.721+00:00
54247845-d812-4dda-98f1-72d9cd0bcdd6,Toyota,Corolla Axio,car,2015,,NRE161,2NR-FKE,manual,,2026-05-01T13:37:45.883533+00:00,2026-05-01T13:37:45.822+00:00
65110e8f-592a-4eb7-b010-cc70bf7ac12f,Toyota,Corolla Axio,car,2013,,NKE165,1NZ-FXE,manual,,2026-05-01T13:37:46.607048+00:00,2026-05-01T13:37:46.514+00:00
0e2717b2-e94d-436a-8434-3cb4d638b395,Toyota,Corolla Axio,car,2012,2015,NZE161,1NZ-FE,manual,,2026-05-01T13:37:47.296034+00:00,2026-05-01T13:37:47.233+00:00
88ab0692-6ab4-4a85-b005-971e04c788dd,Toyota,Corolla Axio,car,2012,,NZE164,1NZ-FE,manual,,2026-05-01T13:37:48.018541+00:00,2026-05-01T13:37:47.963+00:00
1981e5c4-3b9e-4e60-adeb-0d4af42618b4,Toyota,Corolla Axio,car,2008,2012,NZE141,1NZ-FE,manual,,2026-05-01T13:37:48.754507+00:00,2026-05-01T13:37:48.696+00:00
ca69c821-ebe5-4ca6-a6b2-d24c0468d5e6,Toyota,Corolla Axio,car,2006,2008,NZE141,1NZ-FE,manual,,2026-05-01T13:37:49.397041+00:00,2026-05-01T13:37:49.343+00:00
6b9d955e-12f2-48dd-ac0a-2ac63dda2ef6,Toyota,Corolla Cross,car,2023,,MXGA10,M20A-FKS,manual,,2026-05-01T13:37:50.478896+00:00,2026-05-01T13:37:50.401+00:00
7c63a405-8e30-4005-b4f0-e305e9ada459,Toyota,Corolla Cross,car,2021,,ZVG13,2ZR-FXE,manual,,2026-05-01T13:37:52.739243+00:00,2026-05-01T13:37:52.648+00:00
4320d55f-5db9-4230-9824-9092e70a9a19,Toyota,Corolla Cross,car,2021,2023,ZSG10,2ZR-FAE,manual,,2026-05-01T13:37:52.001893+00:00,2026-05-01T13:37:51.949+00:00
db3eab89-2a1e-4a1e-9298-c82736fd35ad,Toyota,Corolla Cross,car,2021,,ZVG11,2ZR-FXE,manual,,2026-05-01T13:37:51.534122+00:00,2026-05-01T13:37:51.482+00:00
6ff00812-4ffa-46ed-809e-73fc654d65f1,Toyota,Corolla Fielder,car,2015,,NRE161G,2NR-FKE,manual,,2026-05-01T13:37:53.448219+00:00,2026-05-01T13:37:53.386+00:00
ffa90eae-0f85-42fa-a0ca-501e812a12bb,Toyota,Corolla Fielder,car,2013,,NKE165G,1NZ-FXE,manual,,2026-05-01T13:37:54.394678+00:00,2026-05-01T13:37:54.344+00:00
9353e65a-145f-4272-a204-a4771fcadbb7,Toyota,Corolla Fielder,car,2012,2015,NZE161G,1NZ-FE,manual,,2026-05-01T13:37:55.126969+00:00,2026-05-01T13:37:55.027+00:00
941c1288-dccb-4cc0-8f61-b04f14c5e7c3,Toyota,Corolla Fielder,car,2012,2024,ZRE162G,2ZR-FAE,manual,,2026-05-01T13:37:56.726941+00:00,2026-05-01T13:37:56.671+00:00
034a8919-d855-42ab-8891-481df4ca8295,Toyota,Corolla Fielder,car,2012,,NZE164G,1NZ-FE,manual,,2026-05-01T13:37:55.791714+00:00,2026-05-01T13:37:55.743+00:00
1d2b45f9-9262-4864-9736-4881524ff7ab,Toyota,Corolla Fielder,car,2008,2012,NZE141G,1NZ-FE,manual,,2026-05-01T13:37:57.393568+00:00,2026-05-01T13:37:57.337+00:00
936285fb-4c36-45de-9c82-f4f62b5a4b7e,Toyota,Corolla Fielder,car,2006,2008,NZE141G,1NZ-FE,manual,,2026-05-01T13:37:58.059551+00:00,2026-05-01T13:37:58.022+00:00
1189e445-8acf-4302-b758-91a4155e7e4e,Toyota,Corolla Sport,car,2022,,ZWE219H,2ZR-FXE,manual,,2026-05-01T13:37:59.387309+00:00,2026-05-01T13:37:59.326+00:00
7a4e2976-88c5-47dd-9cc3-51eb3c4a2519,Toyota,Corolla Sport,car,2022,,MZEA12H,M20A-FKS,manual,,2026-05-01T13:37:58.682688+00:00,2026-05-01T13:37:58.627+00:00
f58c4a40-44ef-44f9-9b8f-0bc39f235255,Toyota,Corolla Sport,car,2018,2022,ZWE211H,2ZR-FXE,manual,,2026-05-01T13:38:00.084969+00:00,2026-05-01T13:38:00.025+00:00
decf22bb-add9-4218-9c5f-339888e9cdce,Toyota,Corolla Sport,car,2018,2022,NRE210H,8NR-FTS,manual,,2026-05-01T13:38:00.862813+00:00,2026-05-01T13:38:00.731+00:00
c4f2f9cc-a984-4549-91b9-73d3f5ab5b04,Toyota,Crown,car,2022,,TZSH35,T24A-FTS,manual,,2026-05-01T13:38:01.303182+00:00,2026-05-01T13:38:01.247+00:00
6319b38e-55cf-496a-bc22-dafffeb3efd3,Toyota,Crown,car,2018,2022,AZSH20,A25A-FXS,manual,,2026-05-01T13:38:02.178015+00:00,2026-05-01T13:38:02.11+00:00
1f7f0af6-2143-4057-8a1a-689a9e133584,Toyota,Crown,car,2018,2022,GWS224,8GR-FXS,manual,,2026-05-01T13:38:02.819955+00:00,2026-05-01T13:38:02.766+00:00
d4711fd7-8504-4639-8f4f-ceb62012fd04,Toyota,Crown,car,2015,2018,ARS210,8AR-FTS,manual,,2026-05-01T13:38:03.245859+00:00,2026-05-01T13:38:03.198+00:00
0d2c29ff-5e56-4b0b-b3d0-35530a3c4be2,Toyota,Crown,car,2013,2018,AWS210,2AR-FSE,manual,,2026-05-01T13:38:04.170681+00:00,2026-05-01T13:38:04.12+00:00
ab25d011-4b8f-4124-98b0-d471381b5a9c,Toyota,Crown,car,2012,2015,GRS210,4GR-FSE,manual,,2026-05-01T13:38:04.905944+00:00,2026-05-01T13:38:04.83+00:00
f216fb21-9dd9-41d5-a783-ba3a5bbf6ad4,Toyota,Crown,car,2010,2012,GRS204,2GR-FSE,manual,,2026-05-01T13:38:05.611267+00:00,2026-05-01T13:38:05.563+00:00
8ee6657a-5203-4c45-b78b-f5c3e9b03cbc,Toyota,Crown,car,2008,2012,GWS204,2GR-FSE,manual,,2026-05-01T13:38:06.059662+00:00,2026-05-01T13:38:06.001+00:00
81b898d2-8dda-40d9-bcb2-29367a78af06,Toyota,Crown,car,2008,2010,GRS200,4GR-FSE,manual,,2026-05-01T13:38:06.777949+00:00,2026-05-01T13:38:06.719+00:00
3c5f6b7d-8989-4088-9874-9b64700ddc5f,Toyota,Noah,car,2022,,MZRA90W,M20A-FKS,manual,,2026-05-01T13:38:07.954186+00:00,2026-05-01T13:38:07.903+00:00
54f5e423-039b-42ad-8f3e-daaf7317c33d,Toyota,Noah,car,2022,,ZWR90W,2ZR-FXE,manual,,2026-05-01T13:38:07.482274+00:00,2026-05-01T13:38:07.426+00:00
80eef596-17d6-46de-b2f3-203a67435b0f,Toyota,Noah,car,2017,2021,ZRR80W,3ZR-FAE,manual,,2026-05-01T13:38:08.906826+00:00,2026-05-01T13:38:08.846+00:00
06475c9a-72c8-4cc2-84f2-21f273f6492b,Toyota,Noah,car,2014,2017,ZRR80G,3ZR-FAE,manual,,2026-05-01T13:38:10.433375+00:00,2026-05-01T13:38:10.368+00:00
47be7560-b535-4764-b5b1-8cf5850e24a7,Toyota,Noah,car,2014,2021,ZWR80G,2ZR-FXE,manual,,2026-05-01T13:38:09.714668+00:00,2026-05-01T13:38:09.657+00:00
f526261b-53f0-4311-aa6e-6d9b95345119,Toyota,Noah,car,2010,2013,ZRR70W,3ZR-FAE,manual,,2026-05-01T13:38:11.0569+00:00,2026-05-01T13:38:11.003+00:00
93fb649d-bc58-490c-a6a1-a4b5ff0513b7,Toyota,Noah,car,2007,2010,ZRR70G,3ZR-FE,manual,,2026-05-01T13:38:12.089479+00:00,2026-05-01T13:38:11.998+00:00
c92d56f5-6fcb-42ce-822f-e7ab5846af33,Toyota,Noah,car,2004,2007,AZR60G,1AZ-FSE,manual,,2026-05-01T13:38:12.74508+00:00,2026-05-01T13:38:12.661+00:00
e8cebed7-5060-4d2d-8979-bb8f58588c17,Toyota,Noah,car,2001,2004,AZR60G,1AZ-FSE,manual,,2026-05-01T13:38:13.809295+00:00,2026-05-01T13:38:13.734+00:00
031e893a-3307-4755-9e1e-ee1b12beb7b3,Toyota,Probox,car,2018,,NHP160V,1NZ-FXE,manual,,2026-05-01T13:38:14.481892+00:00,2026-05-01T13:38:14.422+00:00
cdf6dddb-d50d-451e-92fd-c7912162348b,Toyota,Probox,car,2014,,NCP160V,1NZ-FE,manual,,2026-05-01T13:38:15.148882+00:00,2026-05-01T13:38:15.097+00:00
85e5af66-cb6c-494d-b7ed-3a1697d552f9,Toyota,Probox,car,2014,,NCP165V,1NZ-FE,manual,,2026-05-01T13:38:16.485754+00:00,2026-05-01T13:38:16.441+00:00
475457dd-bcba-4800-93b7-08bfb6ed2731,Toyota,Probox,car,2014,,NSP160V,1NR-FE,manual,,2026-05-01T13:38:15.838267+00:00,2026-05-01T13:38:15.785+00:00
ccbd8d79-f6cd-45e1-82d3-1d3bb23ff35a,Toyota,Probox,car,2002,2007,NLP51V,1ND-TV,manual,,2026-05-01T13:38:16.926238+00:00,2026-05-01T13:38:16.874+00:00
f09be94a-4126-4bed-a649-c2d72636a23c,Toyota,Probox,car,2002,2014,NCP50V,2NZ-FE,manual,,2026-05-01T13:38:18.766662+00:00,2026-05-01T13:38:18.715+00:00
155d2a98-f0bc-40c4-9d16-e845773962fa,Toyota,Probox,car,2002,2014,NCP55V,1NZ-FE,manual,,2026-05-01T13:38:17.548477+00:00,2026-05-01T13:38:17.508+00:00
bd844d17-3de9-4b81-8cf2-a9485c61e927,Toyota,Probox,car,2002,2014,NCP51V,1NZ-FE,manual,,2026-05-01T13:38:18.183595+00:00,2026-05-01T13:38:18.139+00:00
8f066ebd-062a-47fb-915f-5cbcd2bb2945,Toyota,RAV4,car,2025,,XA60,M25A,manual,,2026-05-01T13:38:19.733008+00:00,2026-05-01T13:38:19.681+00:00
38c2b46f-06d4-4283-8d5e-03e6b0c5ee70,Toyota,RAV4,car,2019,2025,AXAA54,A25A-FKS,manual,,2026-05-01T13:38:24.574024+00:00,2026-05-01T13:38:24.514+00:00
8d5b8351-6a35-48d5-89c3-6ecdd506ba7c,Toyota,RAV4,car,2019,2025,AXAH54,A25A-FXS,manual,,2026-05-01T13:38:23.591173+00:00,2026-05-01T13:38:23.514+00:00
9a3b8ef2-78a5-4184-b424-c267a6b7984f,Toyota,RAV4,car,2013,2015,ASU40,1AR-FE,manual,,2026-05-01T13:38:25.081179+00:00,2026-05-01T13:38:25.015+00:00
519a0c4c-6551-4499-9bed-31f33ea39421,Toyota,RAV4,car,2008,2016,ACA31W,2AZ-FE,manual,,2026-05-01T13:38:25.992037+00:00,2026-05-01T13:38:25.926+00:00
72e1731e-9722-4a5e-a1ba-426ae3b71f76,Toyota,RAV4,car,2005,2008,ACA31W,2AZ-FE,manual,,2026-05-01T13:38:26.676095+00:00,2026-05-01T13:38:26.627+00:00
3ed7c48e-76f2-4024-92f5-ac291a8dff87,Toyota,Roomy,car,2020,,M900A,1KR-FE,manual,,2026-05-01T13:38:27.606057+00:00,2026-05-01T13:38:27.551+00:00
007d4cad-f47f-41d1-8354-442108af3902,Toyota,Roomy,car,2020,,M900A,1KR-VET,manual,,2026-05-01T13:38:29.000157+00:00,2026-05-01T13:38:28.918+00:00
ddf1d527-2c5d-4665-95e5-a097a1f30dd8,Toyota,Roomy,car,2020,,M910A,1KR-FE,manual,,2026-05-01T13:38:28.309199+00:00,2026-05-01T13:38:28.242+00:00
7c71d591-6a4a-4763-a858-f3850129fba2,Toyota,Roomy,car,2016,2020,M910A,1KR-FE,manual,,2026-05-01T13:38:29.743506+00:00,2026-05-01T13:38:29.684+00:00
